,aprecier,apreciåcion,rin.merciant,rin.merciante,rin.merciement,rin.merciement,merci,rin.merciant,rin.merciante,rin.merciement,djetteré,djetterèye,oblidjance,astchî,oblidjî,astchant,oblidjance,duvrî,djetteré,k' est astchî,escuseu,disculpes,s'escuser,disculpe,tristesse,disculpez-me,pardon-ne-me,dji su soreu
aprecier,1.0000000000000002,0.9900560637367319,0.9917380782429358,0.9908777298519612,0.9931983515073317,0.9931983515073317,0.9923707631813378,0.9917380782429358,0.9908777298519622,0.9931983515073306,0.9956220979958682,0.9934613555737362,0.9918082685903049,0.9937098357570529,0.9932137094784298,0.993065651380435,0.9918082685903049,0.9925810468714527,0.9956220979958682,0.9947186877537799,0.9951262929437876,0.9912089899134635,0.9944645103569574,0.9916418187502399,0.9964759181009887,0.99210552103781,0.9940742951179876,0.9932433949755334
apreciåcion,0.9900560637367319,1.0000000000000007,0.9865380448695282,0.9857243439982643,0.9872648974259455,0.9872648974259455,0.9870760776195013,0.9865380448695282,0.9857243439982641,0.9872648974259456,0.9907095408855465,0.9889987554975035,0.9884779031920455,0.9887142707784583,0.9887986243736061,0.9889219500624173,0.9884779031920455,0.9879881524000305,0.9907095408855465,0.986528722164031,0.9889933910951023,0.9884590058394398,0.9875408030817764,0.9886329797297349,0.9893261909948665,0.9870576123137589,0.9873097351360297,0.9877667948052337
rin.merciant,0.9917380782429358,0.9865380448695282,0.9999999999999996,0.999028430878141,0.9978084030956179,0.9978084030956179,0.9906514703845681,0.9999999999999996,0.9990284308781419,0.9978084030956186,0.9931631934793883,0.9913288149544688,0.9881699121747429,0.9936492357086197,0.992130084074232,0.9934614422821507,0.9881699121747429,0.9945434810889253,0.9931631934793883,0.9911987934000678,0.992176874174998,0.9889748021541314,0.9918160902052758,0.9896928140228112,0.9925172282302075,0.9885449479162165,0.9906703088341533,0.9909474598825032
rin.merciante,0.9908777298519612,0.9857243439982643,0.999028430878141,0.9999999999999996,0.9970996164709738,0.9970996164709738,0.9895608732812509,0.999028430878141,0.9999999999999993,0.9970996164709734,0.9926955254968528,0.990262711155637,0.9875007176483247,0.9926262286276861,0.9916050014659004,0.9921048855358421,0.9875007176483247,0.9933959540167187,0.9926955254968528,0.9901069257121015,0.9913865282395113,0.9880581817739451,0.991289358367623,0.9888815970427863,0.9916597870531223,0.987890298706342,0.9899678228861499,0.9901475341130094
rin.merciement,0.9931983515073317,0.9872648974259455,0.9978084030956179,0.9970996164709738,1.0,1.0,0.9915174538924282,0.9978084030956179,0.9970996164709734,0.9999999999999999,0.9936342658703591,0.991774824889445,0.9882743690449205,0.9931553862665411,0.9920174336517081,0.992550009377546,0.9882743690449205,0.9939379459032196,0.9936342658703591,0.9921272802901205,0.9930106918111479,0.9890302306452262,0.9925528640507874,0.9896690237317282,0.9933720244963838,0.9889521539747718,0.9914498844662054,0.9917046457308659
rin.merciement,0.9931983515073317,0.9872648974259455,0.9978084030956179,0.9970996164709738,1.0,1.0,0.9915174538924282,0.9978084030956179,0.9970996164709734,0.9999999999999999,0.9936342658703591,0.991774824889445,0.9882743690449205,0.9931553862665411,0.9920174336517081,0.992550009377546,0.9882743690449205,0.9939379459032196,0.9936342658703591,0.9921272802901205,0.9930106918111479,0.9890302306452262,0.9925528640507874,0.9896690237317282,0.9933720244963838,0.9889521539747718,0.9914498844662054,0.9917046457308659
merci,0.9923707631813378,0.9870760776195013,0.9906514703845681,0.9895608732812509,0.9915174538924282,0.9915174538924282,0.9999999999999994,0.9906514703845681,0.9895608732812521,0.9915174538924274,0.9938157680724112,0.9938468448209645,0.9901964023956764,0.993329226111159,0.991714553144669,0.9926020182576568,0.9901964023956764,0.9917741473711954,0.9938157680724112,0.9921272778089315,0.9916285663498703,0.99247776276349,0.9905244320387938,0.9922431741958171,0.9929155300093155,0.9904044889844468,0.9920523547582694,0.9915097772660295
rin.merciant,0.9917380782429358,0.9865380448695282,0.9999999999999996,0.999028430878141,0.9978084030956179,0.9978084030956179,0.9906514703845681,0.9999999999999996,0.9990284308781419,0.9978084030956186,0.9931631934793883,0.9913288149544688,0.9881699121747429,0.9936492357086197,0.992130084074232,0.9934614422821507,0.9881699121747429,0.9945434810889253,0.9931631934793883,0.9911987934000678,0.992176874174998,0.9889748021541314,0.9918160902052758,0.9896928140228112,0.9925172282302075,0.9885449479162165,0.9906703088341533,0.9909474598825032
rin.merciante,0.9908777298519622,0.9857243439982641,0.9990284308781419,0.9999999999999993,0.9970996164709734,0.9970996164709734,0.9895608732812521,0.9990284308781419,0.9999999999999996,0.9970996164709738,0.9926955254968531,0.9902627111556364,0.9875007176483243,0.9926262286276857,0.9916050014659006,0.9921048855358422,0.9875007176483247,0.9933959540167187,0.9926955254968528,0.9901069257121015,0.9913865282395113,0.9880581817739451,0.991289358367623,0.9888815970427863,0.9916597870531223,0.987890298706342,0.9899678228861499,0.9901475341130094
rin.merciement,0.9931983515073306,0.9872648974259456,0.9978084030956186,0.9970996164709734,0.9999999999999999,0.9999999999999999,0.9915174538924274,0.9978084030956186,0.9970996164709738,1.0,0.9936342658703595,0.9917748248894444,0.9882743690449198,0.9931553862665408,0.9920174336517078,0.9925500093775451,0.9882743690449205,0.9939379459032196,0.9936342658703591,0.9921272802901205,0.9930106918111479,0.9890302306452262,0.9925528640507874,0.9896690237317282,0.9933720244963838,0.9889521539747718,0.9914498844662054,0.9917046457308659
djetteré,0.9956220979958682,0.9907095408855465,0.9931631934793883,0.9926955254968528,0.9936342658703591,0.9936342658703591,0.9938157680724112,0.9931631934793883,0.9926955254968531,0.9936342658703595,0.9999999999999991,0.9975127926149628,0.9951659159294057,0.9968061381082703,0.9960681399744098,0.9964011906599273,0.9951659159294066,0.9953852652463807,0.9999999999999986,0.9947856258692505,0.9951263671048669,0.9937084349419545,0.9938809398128619,0.9942591018058604,0.9954095842414893,0.9927845651222055,0.9939191452223782,0.9953392901964448
