,apreciohon,mapasalamaton,pagpasalamat,pagpasalamat,salamat,mapasalamaton,pagpasalamat,pag-apresyar,utang,katungdanan,kinahanglan,napiritan,kasabotan,sumpa,utangon,may utang,utang nga kinahanglan bayaran,mapasayloon,pasaylo,kasubo,mga pasaylo,mangaro hin pasaylo,pasayloa ako,pasayloa ako,pasensya na
apreciohon,0.9999999999999996,0.9932915282881364,0.9892572053090284,0.9892572053090284,0.99462238242975,0.9932915282881364,0.9892572053090284,0.994217005120105,0.994436100536715,0.9850482225195407,0.9893730240215715,0.988066388294384,0.991791361453873,0.9922765425021092,0.9942797113073853,0.9939188535477447,0.9898362671150571,0.9935153129723829,0.9913423796714544,0.9872413944720407,0.9878386029426102,0.9942683178153864,0.9831397476372211,0.9831397476372211,0.9913825727805025
mapasalamaton,0.9932915282881364,0.9999999999999996,0.9947492311175278,0.9947492311175278,0.9965871726373491,0.9999999999999996,0.9947492311175278,0.994587985858813,0.99114296040912,0.9903508180503634,0.9941894804672674,0.9935426735262612,0.9952503189252452,0.994852513742746,0.9915457034765274,0.9923397430024629,0.9934839382842968,0.9979451435852852,0.9928312072247729,0.9889295949715807,0.9924492429832457,0.9950693201232083,0.9812409063420371,0.9812409063420371,0.9941194671935679
pagpasalamat,0.9892572053090284,0.9947492311175278,0.9999999999999992,0.9999999999999992,0.9927836661917402,0.9947492311175278,0.9999999999999992,0.9954428702763078,0.9893264071943303,0.9928077166464637,0.9931024731209301,0.991920844995385,0.9927826813216257,0.992900546835326,0.9894348894015412,0.99099260788381,0.9943384509699434,0.9944109824691659,0.9905587318819531,0.984236931693121,0.9926118694223752,0.9917964698830394,0.9777152931150558,0.9777152931150558,0.9919110013971685
pagpasalamat,0.9892572053090284,0.9947492311175278,0.9999999999999992,0.9999999999999992,0.9927836661917402,0.9947492311175278,0.9999999999999992,0.9954428702763078,0.9893264071943303,0.9928077166464637,0.9931024731209301,0.991920844995385,0.9927826813216257,0.992900546835326,0.9894348894015412,0.99099260788381,0.9943384509699434,0.9944109824691659,0.9905587318819531,0.984236931693121,0.9926118694223752,0.9917964698830394,0.9777152931150558,0.9777152931150558,0.9919110013971685
salamat,0.99462238242975,0.9965871726373491,0.9927836661917402,0.9927836661917402,0.9999999999999998,0.9965871726373491,0.9927836661917402,0.9948825980426648,0.9927804427537726,0.9898491407493919,0.9937200329573942,0.9928719261380075,0.9950720806324225,0.9959134357277899,0.9927508396311092,0.9936210106398787,0.992595180216499,0.9971039116243011,0.9936851391337351,0.9904181890807761,0.9913634064322766,0.9953939611207039,0.9844234774133174,0.9844234774133174,0.9942681742125071
mapasalamaton,0.9932915282881364,0.9999999999999996,0.9947492311175278,0.9947492311175278,0.9965871726373491,0.9999999999999996,0.9947492311175278,0.994587985858813,0.99114296040912,0.9903508180503634,0.9941894804672674,0.9935426735262612,0.9952503189252452,0.994852513742746,0.9915457034765274,0.9923397430024629,0.9934839382842968,0.9979451435852852,0.9928312072247729,0.9889295949715807,0.9924492429832457,0.9950693201232083,0.9812409063420371,0.9812409063420371,0.9941194671935679
pagpasalamat,0.9892572053090284,0.9947492311175278,0.9999999999999992,0.9999999999999992,0.9927836661917402,0.9947492311175278,0.9999999999999992,0.9954428702763078,0.9893264071943303,0.9928077166464637,0.9931024731209301,0.991920844995385,0.9927826813216257,0.992900546835326,0.9894348894015412,0.99099260788381,0.9943384509699434,0.9944109824691659,0.9905587318819531,0.984236931693121,0.9926118694223752,0.9917964698830394,0.9777152931150558,0.9777152931150558,0.9919110013971685
pag-apresyar,0.994217005120105,0.994587985858813,0.9954428702763078,0.9954428702763078,0.9948825980426648,0.994587985858813,0.9954428702763078,0.9999999999999998,0.9927740151798711,0.9903388638426167,0.9921247764400374,0.9906278940733948,0.9932227731550798,0.9938690147153536,0.9929065593776355,0.9939897323580226,0.9933541852624578,0.9951363495928266,0.9915816812847695,0.9867723165338966,0.9923732604870166,0.993414887287282,0.9820844430765331,0.9820844430765331,0.9935660127071358
utang,0.994436100536715,0.99114296040912,0.9893264071943303,0.9893264071943303,0.9927804427537726,0.99114296040912,0.9893264071943303,0.9927740151798711,0.9999999999999994,0.984262899110466,0.989145051342608,0.9870124353833918,0.9904281946410914,0.990823512189197,0.9973929250345349,0.9976756398983867,0.9896210347581925,0.9918388619053892,0.9897458758594236,0.9850862493175467,0.9877572460705297,0.9931392661035464,0.9811752027586664,0.9811752027586664,0.9899681755955252
katungdanan,0.9850482225195407,0.9903508180503634,0.9928077166464637,0.9928077166464637,0.9898491407493919,0.9903508180503634,0.9928077166464637,0.9903388638426167,0.984262899110466,0.9999999999999996,0.9912468527151528,0.9919403907399247,0.989160495731167,0.9912062330494651,0.9851326947062073,0.9860713248842652,0.9920673233809636,0.9916466247323448,0.9862628845239082,0.9829117557183543,0.989531449837781,0.9886880591949505,0.9733809264138686,0.9733809264138686,0.9865299450359626
