,gwerthfawrogi,gwerthfawrogiad,diolchgar,diolchgarwch,diolchgarwch,diolch,diolchgar,diolchgarwch,dyled,rhaid,rhwymedigaeth,rhaid,rhwymedig,rhwymedigaeth,dyledus,mewn dyled,bod yn ddyledus,sy’n ddyledus,ymddiheurol,ymddiheuriadau,ymddiheuro,ymddiheuriad,tristwch,sori,esgusodwch fi,maddau i mi
gwerthfawrogi,0.9999999999999998,0.9972133261972481,0.9917230679465652,0.9934792253230865,0.9934792253230865,0.9930705706648234,0.9917230679465652,0.9934792253230865,0.9936297444077088,0.9913154164510203,0.9938999403071652,0.9913154164510203,0.9924018238840377,0.9938999403071652,0.9935415442324792,0.9932735781673852,0.9925750927010689,0.9936895590540814,0.9968034726062446,0.9943907809381711,0.9953602149121029,0.9955700437626924,0.9921206648816855,0.9912534856869665,0.9935399212701429,0.985896780959213
gwerthfawrogiad,0.9972133261972481,1.0000000000000002,0.9898644540784187,0.9924332845969343,0.9924332845969343,0.99151853721937,0.9898644540784187,0.9924332845969343,0.9925966059660919,0.9891725373228709,0.9936144065509696,0.9891725373228709,0.9915159966967588,0.9936144065509696,0.9920405609536768,0.9919633405756939,0.992339584287446,0.9918564057929008,0.9955547368226598,0.9938440544243291,0.994717878620762,0.9942851362113003,0.9907783050786475,0.9887712515689955,0.9914217117547035,0.9852619055202274
diolchgar,0.9917230679465652,0.9898644540784187,0.9999999999999988,0.994181181000378,0.994181181000378,0.9982702813201799,0.9999999999999988,0.994181181000378,0.9955185423466107,0.9939476986492201,0.9905399112807978,0.9939476986492201,0.9952819252793759,0.9905399112807978,0.9958827981250311,0.9918110452642588,0.9901908433100332,0.9916413293982851,0.9928854454613985,0.9896637817729661,0.9926957372080011,0.9929713328300394,0.9969054516032702,0.9962206365651104,0.9913871032345734,0.9879619078295243
diolchgarwch,0.9934792253230865,0.9924332845969343,0.994181181000378,0.9999999999999996,0.9999999999999996,0.9941631544708833,0.994181181000378,0.9999999999999996,0.9949019650335224,0.9927725574784578,0.9918539983057864,0.9927725574784578,0.9946728691792589,0.9918539983057864,0.99411882495097,0.9931978029455709,0.9904969617486635,0.9924637671335356,0.9940660038367711,0.992048171586242,0.9940082425216686,0.9946650189053502,0.9931130052594438,0.9922295209002611,0.9936367411321179,0.9901666340551841
diolchgarwch,0.9934792253230865,0.9924332845969343,0.994181181000378,0.9999999999999996,0.9999999999999996,0.9941631544708833,0.994181181000378,0.9999999999999996,0.9949019650335224,0.9927725574784578,0.9918539983057864,0.9927725574784578,0.9946728691792589,0.9918539983057864,0.99411882495097,0.9931978029455709,0.9904969617486635,0.9924637671335356,0.9940660038367711,0.992048171586242,0.9940082425216686,0.9946650189053502,0.9931130052594438,0.9922295209002611,0.9936367411321179,0.9901666340551841
diolch,0.9930705706648234,0.99151853721937,0.9982702813201799,0.9941631544708833,0.9941631544708833,0.9999999999999994,0.9982702813201799,0.9941631544708833,0.9969048486842018,0.9949146711183274,0.9919792677581969,0.9949146711183274,0.9958471638367814,0.9919792677581969,0.9969705896190729,0.9928676821399144,0.9913903600698183,0.99281684112265,0.9946715560762671,0.9908133630975874,0.9939528019030417,0.9936819283956331,0.997652863801264,0.9966882190088645,0.9911154878756634,0.9873299433295621
diolchgar,0.9917230679465652,0.9898644540784187,0.9999999999999988,0.994181181000378,0.994181181000378,0.9982702813201799,0.9999999999999988,0.994181181000378,0.9955185423466107,0.9939476986492201,0.9905399112807978,0.9939476986492201,0.9952819252793759,0.9905399112807978,0.9958827981250311,0.9918110452642588,0.9901908433100332,0.9916413293982851,0.9928854454613985,0.9896637817729661,0.9926957372080011,0.9929713328300394,0.9969054516032702,0.9962206365651104,0.9913871032345734,0.9879619078295243
diolchgarwch,0.9934792253230865,0.9924332845969343,0.994181181000378,0.9999999999999996,0.9999999999999996,0.9941631544708833,0.994181181000378,0.9999999999999996,0.9949019650335224,0.9927725574784578,0.9918539983057864,0.9927725574784578,0.9946728691792589,0.9918539983057864,0.99411882495097,0.9931978029455709,0.9904969617486635,0.9924637671335356,0.9940660038367711,0.992048171586242,0.9940082425216686,0.9946650189053502,0.9931130052594438,0.9922295209002611,0.9936367411321179,0.9901666340551841
dyled,0.9936297444077088,0.9925966059660919,0.9955185423466107,0.9949019650335224,0.9949019650335224,0.9969048486842018,0.9955185423466107,0.9949019650335224,0.9999999999999996,0.9949832319058207,0.9925695313987146,0.9949832319058207,0.9963951738592124,0.9925695313987146,0.9974580750709798,0.994113997559956,0.9924754200032414,0.9940205030430449,0.9951375103791446,0.9915360181630978,0.9952751428307389,0.9947564968974677,0.9957588957650321,0.9959331737062102,0.9917914704516738,0.9895184249219177
rhaid,0.9913154164510203,0.9891725373228709,0.9939476986492201,0.9927725574784578,0.9927725574784578,0.9949146711183274,0.9939476986492201,0.9927725574784578,0.9949832319058207,0.9999999999999997,0.9891764410513176,0.9999999999999997,0.9933228656279834,0.9891764410513176,0.9946956566049555,0.9939661135812403,0.9913511004078694,0.9933966171257561,0.992078169967314,0.9896477921554884,0.9921480171821577,0.9928119716704371,0.9940923054507713,0.9952950536530992,0.9909977222803427,0.9863359372910858
