,appreciëren,appreciatie,dankboar,dankboarheid,dankboarheid,bedankt,danku,dankboar,dankboarheid,schuldig,schuldigheid,verplichting,verplicht,verbintenis,te betalen,verschuldigd zyn,nog verschuldigd,excuzaand,excuzen,excuus,pardon,spijten,sorry,excuusn vragen,excuzeer me,vergeef me
appreciëren,0.999999999999999,0.9957693351399531,0.9793457947579707,0.9906437051165204,0.9906437051165204,0.99128424790198,0.9940827705402446,0.9793457947579707,0.990643705116519,0.9956305605442802,0.9890472289390198,0.9931736219104328,0.9947232180997762,0.995234167369512,0.9934079449588115,0.9934353425017672,0.9905582727855986,0.9941723800956274,0.9894979695765335,0.9925669005019206,0.9947746603543026,0.991597240231365,0.9899255428524627,0.9952649217336166,0.9921215549449152,0.9941745804374623
appreciatie,0.9957693351399531,0.9999999999999991,0.9804777190707529,0.9925232965155012,0.9925232965155012,0.9914567169578861,0.9942209219422822,0.9804777190707529,0.9925232965155006,0.9936815277376826,0.9912527609049109,0.9939231091325439,0.9931262521688259,0.9960532214227213,0.9914981731230458,0.9915057581987392,0.9898767739244143,0.9950035941768225,0.989462542248983,0.9934164768923724,0.9937952477271325,0.9909903639386476,0.9885603967672439,0.9943485320029,0.9924385800502239,0.9924816312732245
dankboar,0.9793457947579707,0.9804777190707529,0.9999999999999997,0.9882566086946464,0.9882566086946464,0.9787132154146716,0.9827385612033513,0.9999999999999997,0.9882566086946463,0.9793939430079956,0.9792565024717771,0.9814116726962555,0.979603817959586,0.9815036082598817,0.979914336714396,0.9785311964747534,0.976609968837464,0.9787039943010271,0.9737060643381931,0.9775710637878822,0.980012288213139,0.9808110705690808,0.975560879950044,0.981579791104791,0.9799050663705209,0.980058244574994
dankboarheid,0.9906437051165204,0.9925232965155012,0.9882566086946464,0.9999999999999999,0.9999999999999999,0.98750564080273,0.9920390468176504,0.9882566086946464,1.0,0.9901649430990723,0.9943829027058455,0.9917453952191175,0.9897479191418793,0.9925543199981055,0.9892309519289022,0.9894096761890574,0.9874733663164185,0.989836322647194,0.9851595367421709,0.9874851308227858,0.9904519020768565,0.9900677548495014,0.9841582710976066,0.9925151565359313,0.9897566829887442,0.9903845707108696
dankboarheid,0.9906437051165204,0.9925232965155012,0.9882566086946464,0.9999999999999999,0.9999999999999999,0.98750564080273,0.9920390468176504,0.9882566086946464,1.0,0.9901649430990723,0.9943829027058455,0.9917453952191175,0.9897479191418793,0.9925543199981055,0.9892309519289022,0.9894096761890574,0.9874733663164185,0.989836322647194,0.9851595367421709,0.9874851308227858,0.9904519020768565,0.9900677548495014,0.9841582710976066,0.9925151565359313,0.9897566829887442,0.9903845707108696
bedankt,0.99128424790198,0.9914567169578861,0.9787132154146716,0.98750564080273,0.98750564080273,0.9999999999999993,0.9908838254956776,0.9787132154146716,0.9875056408027294,0.992487579215307,0.987509203352508,0.9905954781588939,0.9920658806291969,0.9924345322613373,0.9880475657479592,0.9910112513946941,0.9899167703945021,0.9908651849214394,0.9865228168894924,0.990293914211607,0.9903216516885867,0.9892795851478293,0.9872191812064088,0.9908162725811298,0.9883577037642657,0.9884820615920422
danku,0.9940827705402446,0.9942209219422822,0.9827385612033513,0.9920390468176504,0.9920390468176504,0.9908838254956776,0.9999999999999992,0.9827385612033513,0.9920390468176505,0.9945846989801278,0.9897792367435976,0.992900230508615,0.9933144007370518,0.9953324768070895,0.9922957196716513,0.9922598468162778,0.9890756050342141,0.9925457709642104,0.9870588748601414,0.9916862557412288,0.994750164032261,0.9915190156422806,0.9914311133064506,0.9944609744850444,0.9937194213750409,0.9942317754707379
dankboar,0.9793457947579707,0.9804777190707529,0.9999999999999997,0.9882566086946464,0.9882566086946464,0.9787132154146716,0.9827385612033513,0.9999999999999997,0.9882566086946463,0.9793939430079956,0.9792565024717771,0.9814116726962555,0.979603817959586,0.9815036082598817,0.979914336714396,0.9785311964747534,0.976609968837464,0.9787039943010271,0.9737060643381931,0.9775710637878822,0.980012288213139,0.9808110705690808,0.975560879950044,0.981579791104791,0.9799050663705209,0.980058244574994
dankboarheid,0.990643705116519,0.9925232965155006,0.9882566086946463,1.0,1.0,0.9875056408027294,0.9920390468176505,0.9882566086946463,0.9999999999999999,0.9901649430990724,0.9943829027058456,0.9917453952191165,0.9897479191418801,0.9925543199981058,0.989230951928902,0.9894096761890568,0.9874733663164185,0.989836322647194,0.9851595367421709,0.9874851308227858,0.9904519020768565,0.9900677548495014,0.9841582710976066,0.9925151565359313,0.9897566829887442,0.9903845707108696
schuldig,0.9956305605442802,0.9936815277376826,0.9793939430079956,0.9901649430990723,0.9901649430990723,0.992487579215307,0.9945846989801278,0.9793939430079956,0.9901649430990724,1.0,0.9889120979218974,0.9938571703680873,0.9963031307079113,0.9938454375639731,0.9917045923199452,0.9958627669737381,0.9920728802256262,0.9926475799846559,0.9877870410531345,0.99214796272328,0.9948273516402137,0.9916686329185382,0.991498851527247,0.994684200124554,0.9917415276972861,0.9934236928749008
