,wurdearje,wurdearring,tankber,tankberens,tankberens,tanke,tankje,tankber,tankberens,skuldbetinking,ferplichting,ferplichte,ferbûnens,ferplichting,skuldich,skulden hawwe,skuldich wêze,ekskúsjaand,ekskúzen,ekskús,fertriet,sorry,ekskús my,my ekskusearje,ferjou my
wurdearje,0.9999999999999992,0.9964862010224945,0.9938568040291618,0.9941212077530724,0.9941212077530724,0.9943462126835313,0.9951394312348553,0.9938568040291618,0.9941212077530717,0.9915222720066612,0.9924378380016011,0.9911127133746817,0.9907331982029142,0.9924378380016011,0.9947504004114545,0.9808165601312915,0.9947460234150665,0.9923584963172859,0.9943092865482872,0.9935288962443053,0.9934710076411479,0.9856977229687862,0.9920709874815392,0.9945305414054961,0.9937718945154309
wurdearring,0.9964862010224945,0.9999999999999997,0.9954376504652896,0.9951290023279,0.9951290023279,0.9957579834010348,0.9916775988618957,0.9954376504652896,0.9951290023279006,0.9933079238540201,0.9937317563520841,0.992911309602994,0.9917151246772528,0.9937317563520841,0.9966041206785148,0.9813628486271789,0.9961035995495696,0.9930029607912514,0.9945354305295078,0.9948492301810202,0.9958962300800006,0.9874560568927468,0.992406634607628,0.9931374664065103,0.9941266599547383
tankber,0.9938568040291618,0.9954376504652896,0.9999999999999989,0.9973862799580262,0.9973862799580262,0.9970183809196926,0.991920168541565,0.9999999999999989,0.9973862799580266,0.9920560697446205,0.9934252568833496,0.9933201941632588,0.9922353934157373,0.9934252568833496,0.9945155946833305,0.9831872429739181,0.9943335632068712,0.9936531720489898,0.9941060778599374,0.9943840025126193,0.9938572204039814,0.9899087990515559,0.9943814945771051,0.9936667709406204,0.9949860763021992
tankberens,0.9941212077530724,0.9951290023279,0.9973862799580262,1.0,1.0,0.9967582152195937,0.9923274984885916,0.9973862799580262,1.0000000000000009,0.9945154597407123,0.9938191453703707,0.992489304010454,0.9928039135775795,0.9938191453703707,0.9951284581132825,0.9828635756274922,0.9947526767523637,0.9940850948137369,0.9956618408315049,0.9946040692504727,0.9936517684327278,0.9884345531069533,0.9940012839173314,0.994379892785225,0.9945282886167612
tankberens,0.9941212077530724,0.9951290023279,0.9973862799580262,1.0,1.0,0.9967582152195937,0.9923274984885916,0.9973862799580262,1.0000000000000009,0.9945154597407123,0.9938191453703707,0.992489304010454,0.9928039135775795,0.9938191453703707,0.9951284581132825,0.9828635756274922,0.9947526767523637,0.9940850948137369,0.9956618408315049,0.9946040692504727,0.9936517684327278,0.9884345531069533,0.9940012839173314,0.994379892785225,0.9945282886167612
tanke,0.9943462126835313,0.9957579834010348,0.9970183809196926,0.9967582152195937,0.9967582152195937,0.9999999999999996,0.9925539840444055,0.9970183809196926,0.9967582152195946,0.9927667923064571,0.9927782015880378,0.9930966130601465,0.991603778993705,0.9927782015880378,0.9948872525491229,0.980968272659423,0.9947484719407856,0.9939777172267292,0.9940827617537572,0.9944134538214776,0.9947473282053401,0.9885468324908309,0.9928114641894202,0.9936756491017769,0.9944521659048488
tankje,0.9951394312348553,0.9916775988618957,0.991920168541565,0.9923274984885916,0.9923274984885916,0.9925539840444055,0.9999999999999998,0.991920168541565,0.9923274984885926,0.9897973491787827,0.989170606648341,0.9879565358667468,0.9877152530495906,0.989170606648341,0.9911084787056001,0.9776883541392831,0.9910271366675208,0.9897560925972981,0.9915271028856613,0.9899227131933496,0.9894630485691879,0.9828792126171887,0.9880084447951577,0.9924093344445906,0.9899377286473118
tankber,0.9938568040291618,0.9954376504652896,0.9999999999999989,0.9973862799580262,0.9973862799580262,0.9970183809196926,0.991920168541565,0.9999999999999989,0.9973862799580266,0.9920560697446205,0.9934252568833496,0.9933201941632588,0.9922353934157373,0.9934252568833496,0.9945155946833305,0.9831872429739181,0.9943335632068712,0.9936531720489898,0.9941060778599374,0.9943840025126193,0.9938572204039814,0.9899087990515559,0.9943814945771051,0.9936667709406204,0.9949860763021992
tankberens,0.9941212077530717,0.9951290023279006,0.9973862799580266,1.0000000000000009,1.0000000000000009,0.9967582152195946,0.9923274984885926,0.9973862799580266,1.0,0.9945154597407124,0.9938191453703704,0.9924893040104552,0.9928039135775795,0.9938191453703704,0.9951284581132831,0.9828635756274918,0.9947526767523637,0.9940850948137369,0.9956618408315049,0.9946040692504727,0.9936517684327278,0.9884345531069533,0.9940012839173314,0.994379892785225,0.9945282886167612
skuldbetinking,0.9915222720066612,0.9933079238540201,0.9920560697446205,0.9945154597407123,0.9945154597407123,0.9927667923064571,0.9897973491787827,0.9920560697446205,0.9945154597407124,0.9999999999999993,0.9926035639929837,0.9884506712413517,0.9901439280653033,0.9926035639929837,0.9932004914082226,0.9802827668949488,0.9929484204196634,0.9914347292029245,0.9926781946277934,0.9906093903708777,0.9897931547357188,0.9830998964959297,0.9888671368469337,0.9930038921482477,0.9915146864656684
