,تعریف,شکرگزاری,شکرگزاری,شکریہ,شکرگزاری,شکر گزار,شکر گزار,قدر کرنا,مقروض,قرضداری,مجبور,وعدہ,احسان مند,ذمہ داری,قرض ہونا,واجب الادا,معذرتیں,معذرت,افسوس,معاف کرنا,مجھے معاف کریں,معاف کرنا,معافی مانگنا,معذرت خواہ
تعریف,0.9999999999999999,0.9774797019452793,0.9774797019452793,0.980096153082815,0.9774797019452793,0.9767959264173305,0.9767959264173305,0.9817826595023609,0.9796952385018722,0.9806531243093062,0.9807697404349732,0.9810688270006896,0.9794576338610252,0.9809512956441003,0.9830246845250193,0.9760870896030118,0.9746597330880087,0.9822601894746648,0.980551607803966,0.9815935676620077,0.9804504272139554,0.9815935676620077,0.9788147874345189,0.9812009558754909
شکرگزاری,0.9774797019452793,0.9999999999999989,0.9999999999999989,0.9942466100731457,0.9999999999999989,0.995874292401461,0.995874292401461,0.9895458197939676,0.994316854518622,0.9958863951181627,0.992837121626737,0.9935194411944788,0.9947211664617949,0.9937257889331812,0.9918362224496269,0.9930916946073577,0.9941584655051864,0.99056670289368,0.9948289598059804,0.9900948980211923,0.9910127948928057,0.9900948980211923,0.9954550007832705,0.9933708040606225
شکرگزاری,0.9774797019452793,0.9999999999999989,0.9999999999999989,0.9942466100731457,0.9999999999999989,0.995874292401461,0.995874292401461,0.9895458197939676,0.994316854518622,0.9958863951181627,0.992837121626737,0.9935194411944788,0.9947211664617949,0.9937257889331812,0.9918362224496269,0.9930916946073577,0.9941584655051864,0.99056670289368,0.9948289598059804,0.9900948980211923,0.9910127948928057,0.9900948980211923,0.9954550007832705,0.9933708040606225
شکریہ,0.980096153082815,0.9942466100731457,0.9942466100731457,0.9999999999999991,0.9942466100731457,0.9954266419379436,0.9954266419379436,0.9927762808514962,0.9968940118215854,0.9945403010532754,0.9944988953825432,0.9958335067520944,0.995499326168758,0.9950690861452058,0.9942803223055284,0.9932327781313447,0.9936833133087339,0.9930759564690674,0.9958175756190888,0.9933614539857802,0.9930873385122954,0.9933614539857802,0.9968705349390479,0.9947479245537665
شکرگزاری,0.9774797019452793,0.9999999999999989,0.9999999999999989,0.9942466100731457,0.9999999999999989,0.995874292401461,0.995874292401461,0.9895458197939676,0.994316854518622,0.9958863951181627,0.992837121626737,0.9935194411944788,0.9947211664617949,0.9937257889331812,0.9918362224496269,0.9930916946073577,0.9941584655051864,0.99056670289368,0.9948289598059804,0.9900948980211923,0.9910127948928057,0.9900948980211923,0.9954550007832705,0.9933708040606225
شکر گزار,0.9767959264173305,0.995874292401461,0.995874292401461,0.9954266419379436,0.995874292401461,0.9999999999999998,0.9999999999999998,0.9906714087038366,0.9943888725816475,0.9953086468992819,0.9923988959558842,0.9928375504624256,0.9942847496079338,0.9926445478558957,0.992442428620547,0.9938259122333386,0.9947622965483784,0.9901389476398622,0.9944125433002117,0.9912559910459351,0.9912578030499463,0.9912559910459351,0.9963175902654476,0.9935932495320577
شکر گزار,0.9767959264173305,0.995874292401461,0.995874292401461,0.9954266419379436,0.995874292401461,0.9999999999999998,0.9999999999999998,0.9906714087038366,0.9943888725816475,0.9953086468992819,0.9923988959558842,0.9928375504624256,0.9942847496079338,0.9926445478558957,0.992442428620547,0.9938259122333386,0.9947622965483784,0.9901389476398622,0.9944125433002117,0.9912559910459351,0.9912578030499463,0.9912559910459351,0.9963175902654476,0.9935932495320577
قدر کرنا,0.9817826595023609,0.9895458197939676,0.9895458197939676,0.9927762808514962,0.9895458197939676,0.9906714087038366,0.9906714087038366,0.9999999999999998,0.9910412022728888,0.9923191017465695,0.9930143952363479,0.9929008183281812,0.9915088145472376,0.9944200763701736,0.9958365168199275,0.9895457126680784,0.988905282113413,0.9920177236763956,0.9920214240477161,0.998465967816583,0.9928614573362629,0.998465967816583,0.9928284884775899,0.9931289884085008
مقروض,0.9796952385018722,0.994316854518622,0.994316854518622,0.9968940118215854,0.994316854518622,0.9943888725816475,0.9943888725816475,0.9910412022728888,0.9999999999999991,0.9947526672370062,0.9962460859520194,0.9945014328944292,0.996282528777776,0.9948932971873112,0.9929225311002894,0.9943178063222344,0.9925612061295724,0.993597419417985,0.9957274138935311,0.9924952328511288,0.9920595619877339,0.9924952328511288,0.9962352735153153,0.994149558821535
قرضداری,0.9806531243093062,0.9958863951181627,0.9958863951181627,0.9945403010532754,0.9958863951181627,0.9953086468992819,0.9953086468992819,0.9923191017465695,0.9947526672370062,1.0000000000000004,0.9938914949412473,0.9943289200567498,0.9948173628462925,0.9950389095711686,0.9945192741217306,0.9934221944170653,0.9935670034474285,0.991854452406099,0.9951096588327889,0.9927861626626445,0.9916547016968976,0.9927861626626445,0.9952018310147419,0.9938619601838065
