,אַריבערשיצן,אַפּרישעציִע,דאַנקבאַר,דאַנקבאַרקייט,אָדאַנק,דאַנקבאַר,דאַנקבאַרקייט,הכרת הטוב,שולדיק,שולדיקייט,פליכט,מחויב,פארפליכטונג,שולדיק,שולדיק זײַן,אַנטשולדיקנדיק,אַנטשולדיקונגען,אַנטשולדיקונג,חרטה,אנטשולדיגונג,אַנטשולדיקן זיך,אנטשולדיגט מיר,פֿאַרלאָז מיר
אַריבערשיצן,0.999999999999999,0.9968550040938486,0.9959711983803471,0.9952976410915402,0.995065689460577,0.9959711983803471,0.9952976410915402,0.9934905684205216,0.9962186843068364,0.9962768634444823,0.9948043438364643,0.9958849499020384,0.9954416268416286,0.9962186843068364,0.9946732049587445,0.9963814363578505,0.9966613061838273,0.9960646410419425,0.9966065783861361,0.9959715182733683,0.9961729696033593,0.9959914992847185,0.9943349252677934
אַפּרישעציִע,0.9968550040938486,1.0000000000000004,0.995582209634821,0.9949254346073699,0.9950411162655092,0.995582209634821,0.9949254346073699,0.9947661409341649,0.9940427204990334,0.9954987123526541,0.9943409985384243,0.9966136135879212,0.9952720446182015,0.9940427204990334,0.9962807945727519,0.9962939770994809,0.9966900982311906,0.9958235591819068,0.997130295016299,0.9959092472371892,0.9971282026124956,0.9963648210544084,0.995104737844606
דאַנקבאַר,0.9959711983803471,0.995582209634821,1.0000000000000002,0.9986302980190591,0.9972364975848076,1.0000000000000002,0.9986302980190591,0.9927727417285306,0.9949361004817079,0.997250680134089,0.9960787215849398,0.996252400759191,0.9980312229662524,0.9949361004817079,0.9954314053545067,0.9978494167349637,0.9971509925276825,0.9980409973735115,0.996700554741343,0.9976761006611585,0.9967715382894573,0.9979720704551881,0.9974499998447233
דאַנקבאַרקייט,0.9952976410915402,0.9949254346073699,0.9986302980190591,0.9999999999999999,0.997076244047591,0.9986302980190591,0.9999999999999999,0.9927667010159675,0.9939648898034905,0.9967383264958799,0.9956131282306008,0.9959588027908783,0.9978980352030806,0.9939648898034905,0.9949937760984161,0.9978727761126878,0.9966270204520602,0.9978264014045747,0.995866314810699,0.9975991833955953,0.9959792507356041,0.9968888315782839,0.9967276766729114
אָדאַנק,0.995065689460577,0.9950411162655092,0.9972364975848076,0.997076244047591,0.9999999999999997,0.9972364975848076,0.997076244047591,0.9925322528502366,0.995097131024935,0.9959328524446195,0.9958500799596993,0.996107793640581,0.9968666184760745,0.995097131024935,0.9950828811161954,0.9967745238616142,0.9959338599937366,0.9970069940805082,0.9952348138743615,0.996960365119947,0.9962682622699394,0.9971809919615103,0.9969544110333934
דאַנקבאַר,0.9959711983803471,0.995582209634821,1.0000000000000002,0.9986302980190591,0.9972364975848076,1.0000000000000002,0.9986302980190591,0.9927727417285306,0.9949361004817079,0.997250680134089,0.9960787215849398,0.996252400759191,0.9980312229662524,0.9949361004817079,0.9954314053545067,0.9978494167349637,0.9971509925276825,0.9980409973735115,0.996700554741343,0.9976761006611585,0.9967715382894573,0.9979720704551881,0.9974499998447233
דאַנקבאַרקייט,0.9952976410915402,0.9949254346073699,0.9986302980190591,0.9999999999999999,0.997076244047591,0.9986302980190591,0.9999999999999999,0.9927667010159675,0.9939648898034905,0.9967383264958799,0.9956131282306008,0.9959588027908783,0.9978980352030806,0.9939648898034905,0.9949937760984161,0.9978727761126878,0.9966270204520602,0.9978264014045747,0.995866314810699,0.9975991833955953,0.9959792507356041,0.9968888315782839,0.9967276766729114
הכרת הטוב,0.9934905684205216,0.9947661409341649,0.9927727417285306,0.9927667010159675,0.9925322528502366,0.9927727417285306,0.9927667010159675,1.0000000000000002,0.9909192148581275,0.9928904833315195,0.9911735119995199,0.9943236449078641,0.9928338975294382,0.9909192148581275,0.9951609357770996,0.9936121033100822,0.9939867088415016,0.9936197496600447,0.9942556925854281,0.9940570960693784,0.99469740631684,0.9934639159225549,0.9928543017703946
שולדיק,0.9962186843068364,0.9940427204990334,0.9949361004817079,0.9939648898034905,0.995097131024935,0.9949361004817079,0.9939648898034905,0.9909192148581275,0.9999999999999993,0.9962259242270739,0.9952697285963907,0.9942455709932597,0.9943880862615513,0.9999999999999993,0.9939704773917306,0.9942362199552408,0.9940540300680056,0.9940852430801675,0.9946939627333382,0.9935743777377719,0.9942634079243913,0.99490092326991,0.9931349878005324
שולדיקייט,0.9962768634444823,0.9954987123526541,0.997250680134089,0.9967383264958799,0.9959328524446195,0.997250680134089,0.9967383264958799,0.9928904833315195,0.9962259242270739,0.9999999999999992,0.9950470767343723,0.9954893774732412,0.996477992423208,0.9962259242270739,0.9959285993324759,0.9970422082008666,0.9968877007845074,0.9974206310004077,0.9963102287555982,0.9967595774245535,0.9963669428422918,0.9968706132785056,0.9951095892646405
