,dúpẹ́,mọrírì,mọrírì,dúpẹ́lọ́run,ọpẹ́lọ́run,ọpẹ,dúpẹ́,dúpẹ́lọ́run,ọpẹ́lọ́run,múra sí ọpẹ́,múra sí ọpẹ́,gbèsè,ojuse,dáradá,àdéhùn,ní gbèsè,gbèsè wà lórí,ní gbèsè,ní ojúṣe,ìfọ̀kànsìn,àríyànjiyàn,èbẹ̀,bèrè èbẹ̀,ma binu,ẹ má binu,ẹ darí jì mi,ẹ̀dùn okan
dúpẹ́,0.9999999999999996,0.9911851185181819,0.9911851185181819,0.9971754832500677,0.9912109537798798,0.9938238747451966,0.9999999999999996,0.9971754832500677,0.9912109537798801,0.9904719265727975,0.9904719265727975,0.9943342625228523,0.9945248311090231,0.9940062393852936,0.9957149621373309,0.9908249744791151,0.9832680109697036,0.9908249744791151,0.9863324789219952,0.995554551693361,0.9944388685688539,0.9958688276060778,0.9770938143076127,0.9921170449717467,0.990452688791265,0.9941759640969923,0.9949956841653379
mọrírì,0.9911851185181819,0.9999999999999994,0.9999999999999994,0.9898863421844105,0.9870311191704223,0.9901369416196458,0.9911851185181819,0.9898863421844105,0.987031119170423,0.9883969396619439,0.9883969396619439,0.9890144882708084,0.9903006557252216,0.9899577250714864,0.9910276330983405,0.9874443281653789,0.9782424811833368,0.9874443281653789,0.9840078315375292,0.990508234513733,0.9896247761897355,0.9901419305911354,0.9732105612136642,0.9901870462661501,0.9909848844455724,0.9924661331085389,0.9902572018310575
mọrírì,0.9911851185181819,0.9999999999999994,0.9999999999999994,0.9898863421844105,0.9870311191704223,0.9901369416196458,0.9911851185181819,0.9898863421844105,0.987031119170423,0.9883969396619439,0.9883969396619439,0.9890144882708084,0.9903006557252216,0.9899577250714864,0.9910276330983405,0.9874443281653789,0.9782424811833368,0.9874443281653789,0.9840078315375292,0.990508234513733,0.9896247761897355,0.9901419305911354,0.9732105612136642,0.9901870462661501,0.9909848844455724,0.9924661331085389,0.9902572018310575
dúpẹ́lọ́run,0.9971754832500677,0.9898863421844105,0.9898863421844105,1.0000000000000004,0.9919825239114396,0.9929652079028528,0.9971754832500677,1.0000000000000004,0.9919825239114407,0.9886459548005452,0.9886459548005452,0.9945141122953405,0.9937123023677965,0.9929553375112111,0.9951367908807636,0.9909066643333762,0.9840794016584853,0.9909066643333762,0.9863314986452512,0.9952534693925714,0.9944164911661799,0.9957059603698873,0.9782380868562858,0.9925910511272785,0.9908630688543465,0.9932485094549904,0.9954062044337354
ọpẹ́lọ́run,0.9912109537798798,0.9870311191704223,0.9870311191704223,0.9919825239114396,0.9999999999999997,0.990675647683164,0.9912109537798798,0.9919825239114396,0.9999999999999996,0.9868667291459194,0.9868667291459194,0.9925447120140456,0.992683259231912,0.9922981405053842,0.9933133573022374,0.9896753408225816,0.9818917953472087,0.9896753408225816,0.9868340498151378,0.9935600896705666,0.993759495120222,0.9929653019916486,0.9772264263940414,0.9909601403158907,0.987751752843273,0.9904381899467238,0.994168448664264
ọpẹ,0.9938238747451966,0.9901369416196458,0.9901369416196458,0.9929652079028528,0.990675647683164,1.0,0.9938238747451966,0.9929652079028528,0.9906756476831642,0.9905936946511545,0.9905936946511545,0.9932833897269882,0.9941181504282679,0.9943412903115613,0.9933740675758115,0.9906214711672857,0.9786846064807349,0.9906214711672857,0.9867573681617907,0.9921349218691813,0.9913902925821317,0.9954456906664261,0.9757858275178962,0.9925356694999508,0.9905866784945054,0.9932140568975617,0.9935962187428827
dúpẹ́,0.9999999999999996,0.9911851185181819,0.9911851185181819,0.9971754832500677,0.9912109537798798,0.9938238747451966,0.9999999999999996,0.9971754832500677,0.9912109537798801,0.9904719265727975,0.9904719265727975,0.9943342625228523,0.9945248311090231,0.9940062393852936,0.9957149621373309,0.9908249744791151,0.9832680109697036,0.9908249744791151,0.9863324789219952,0.995554551693361,0.9944388685688539,0.9958688276060778,0.9770938143076127,0.9921170449717467,0.990452688791265,0.9941759640969923,0.9949956841653379
dúpẹ́lọ́run,0.9971754832500677,0.9898863421844105,0.9898863421844105,1.0000000000000004,0.9919825239114396,0.9929652079028528,0.9971754832500677,1.0000000000000004,0.9919825239114407,0.9886459548005452,0.9886459548005452,0.9945141122953405,0.9937123023677965,0.9929553375112111,0.9951367908807636,0.9909066643333762,0.9840794016584853,0.9909066643333762,0.9863314986452512,0.9952534693925714,0.9944164911661799,0.9957059603698873,0.9782380868562858,0.9925910511272785,0.9908630688543465,0.9932485094549904,0.9954062044337354
ọpẹ́lọ́run,0.9912109537798801,0.987031119170423,0.987031119170423,0.9919825239114407,0.9999999999999996,0.9906756476831642,0.9912109537798801,0.9919825239114407,0.9999999999999997,0.9868667291459188,0.9868667291459188,0.9925447120140461,0.9926832592319101,0.9922981405053837,0.9933133573022375,0.9896753408225812,0.9818917953472087,0.9896753408225816,0.9868340498151378,0.9935600896705666,0.993759495120222,0.9929653019916486,0.9772264263940414,0.9909601403158907,0.987751752843273,0.9904381899467238,0.994168448664264
múra sí ọpẹ́,0.9904719265727975,0.9883969396619439,0.9883969396619439,0.9886459548005452,0.9868667291459194,0.9905936946511545,0.9904719265727975,0.9886459548005452,0.9868667291459188,0.9999999999999997,0.9999999999999997,0.9894460649522386,0.9910678306512114,0.9898844117718435,0.9903544006748579,0.9888401069061469,0.9774951242164304,0.9888401069061467,0.9856387957871712,0.9887372210425356,0.9879020265298682,0.9902601163552701,0.9745648971795106,0.9882979755247865,0.9859739045587869,0.9889209760187799,0.9887238108462691
