,qedırdari,sıpasdari,sıpasdar,şükrdar,sıpasdari,şükrdari,şükran,sıpasi,şükr,sıpasdar,şükrdar,sıpasdari,şükrdari,qedır bıken,sıpasi bıken,qerezdar,qereziye,mecburiyet,wecibiyet,mecburi,wecib,mecburiyet,vejib,qerez bıbo,qerezdar bıno,qereziya bıbo,mazeretîken,mazeretî,mazeret,bibore,bîvênîş,xemgînî,bibore,bibore me,mazeret xastan
qedırdari,0.9999999999999994,0.9962565861069586,0.9960198733532538,0.9953971668371414,0.9962565861069586,0.9957683686219376,0.9935117965867862,0.9955134067980156,0.9909269004704524,0.9960198733532538,0.9953971668371414,0.9962565861069586,0.9957683686219376,0.9972266033883123,0.9944120699828488,0.9960620789116078,0.9954050604372623,0.9929572242134158,0.9912982029114104,0.9926118674930486,0.9929152306250757,0.9929572242134158,0.9926535193002577,0.9960607488061716,0.9939993047256481,0.9950457652528371,0.9924342479990081,0.9947735383983443,0.9925599473182684,0.9926399287505888,0.98977318101243,0.9886704058644689,0.9926399287505894,0.994197720523735,0.9932413603300363
sıpasdari,0.9962565861069586,0.9999999999999999,0.9981601915589564,0.9962024062068466,0.9999999999999999,0.9967289810770017,0.9943646748154052,0.9985459730438443,0.9916700677303227,0.9981601915589564,0.9962024062068466,0.9999999999999999,0.9967289810770017,0.9940767694576045,0.9959496350190795,0.9895823231988549,0.9938856710449566,0.9942430479844038,0.9939270284726499,0.9936973569141216,0.9942708792690135,0.9942430479844038,0.9923998839162632,0.9907230206265728,0.9874530378328239,0.9917965096674121,0.9916963975073417,0.994639902361182,0.9919273164677532,0.9935724063442836,0.9899219546380481,0.9902901013360214,0.993572406344284,0.9920412913308875,0.9942528139897885
sıpasdar,0.9960198733532538,0.9981601915589564,0.9999999999999999,0.996339117000355,0.9981601915589564,0.9964107898504324,0.9945849304652538,0.9977001672171631,0.9912740400190391,0.9999999999999999,0.996339117000355,0.9981601915589564,0.9964107898504324,0.9948701618023579,0.9965082364789459,0.9911867466557212,0.9946522653541581,0.9945645218863202,0.9934606158397122,0.9938914409789078,0.993644028996558,0.9945645218863202,0.9940453167874428,0.9916849565528091,0.9885382312329292,0.9917802356937413,0.9926206857030073,0.9959214111894491,0.9935694533639822,0.9943586613584475,0.9917275530768398,0.9898147837884536,0.9943586613584469,0.9921396985146859,0.9950029559933369
şükrdar,0.9953971668371414,0.9962024062068466,0.996339117000355,0.9999999999999992,0.9962024062068466,0.9992228485715977,0.9977738098667939,0.9963815523257051,0.9946681441590942,0.996339117000355,0.9999999999999992,0.9962024062068466,0.9992228485715977,0.9941889465199478,0.9946895582453872,0.9905503632802739,0.9938180167212112,0.9942076443227524,0.9929990757398474,0.996041481970131,0.9936125916141862,0.9942076443227524,0.9938804490221617,0.9919835745928098,0.988604652503193,0.993179795547042,0.9942696996830254,0.9959861163005908,0.9938917177449409,0.9944670688624865,0.9916230480965345,0.9906998563618794,0.9944670688624861,0.9934901119724491,0.9946295597323409
sıpasdari,0.9962565861069586,0.9999999999999999,0.9981601915589564,0.9962024062068466,0.9999999999999999,0.9967289810770017,0.9943646748154052,0.9985459730438443,0.9916700677303227,0.9981601915589564,0.9962024062068466,0.9999999999999999,0.9967289810770017,0.9940767694576045,0.9959496350190795,0.9895823231988549,0.9938856710449566,0.9942430479844038,0.9939270284726499,0.9936973569141216,0.9942708792690135,0.9942430479844038,0.9923998839162632,0.9907230206265728,0.9874530378328239,0.9917965096674121,0.9916963975073417,0.994639902361182,0.9919273164677532,0.9935724063442836,0.9899219546380481,0.9902901013360214,0.993572406344284,0.9920412913308875,0.9942528139897885
şükrdari,0.9957683686219376,0.9967289810770017,0.9964107898504324,0.9992228485715977,0.9967289810770017,0.9999999999999994,0.9972818246403502,0.9966316143576097,0.9941052723441755,0.9964107898504324,0.9992228485715977,0.9967289810770017,0.9999999999999994,0.9938208800195711,0.9945143075604741,0.9905828439189802,0.9939900543271885,0.9942042031185268,0.9926156529195205,0.9954715052968579,0.9938485052342931,0.9942042031185268,0.9936777886042863,0.9914899827915914,0.9881189858974091,0.9924880513368921,0.9938171733224797,0.9963792895503484,0.9934667370305904,0.9942411503092635,0.9913229578526177,0.9905624899806049,0.9942411503092633,0.9930776428726052,0.9943112148377565
şükran,0.9935117965867862,0.9943646748154052,0.9945849304652538,0.9977738098667939,0.9943646748154052,0.9972818246403502,0.9999999999999994,0.9948208431262521,0.9959763789149699,0.9945849304652538,0.9977738098667939,0.9943646748154052,0.9972818246403502,0.9922498749704245,0.9931859780768352,0.988187679926108,0.991036483144143,0.9924382723302124,0.990588781152687,0.9941547003696959,0.9932632738603445,0.9924382723302124,0.9915568772048775,0.9900312869567466,0.9865094656760475,0.9907371456587494,0.9919799873557811,0.9936773934624348,0.9915101114633397,0.9928939563030956,0.9898254462770216,0.9890251737062526,0.9928939563030965,0.9927641553828028,0.9915852824193038
sıpasi,0.9955134067980156,0.9985459730438443,0.9977001672171631,0.9963815523257051,0.9985459730438443,0.9966316143576097,0.9948208431262521,0.9999999999999996,0.9920079421410303,0.9977001672171631,0.9963815523257051,0.9985459730438443,0.9966316143576097,0.9942864360955936,0.9964125003939773,0.9901060988546662,0.9946236729106847,0.9948655018332726,0.9943303931262096,0.9942469551712345,0.9943781440963866,0.9948655018332726,0.9930884836002583,0.9912699287403072,0.9879955447036864,0.9921816475149453,0.9925428505554774,0.9952310049400164,0.9927820136434566,0.9938988685417265,0.9908253407048898,0.9900873564524704,0.9938988685417274,0.9929243867804128,0.9939597913521705
şükr,0.9909269004704524,0.9916700677303227,0.9912740400190391,0.9946681441590942,0.9916700677303227,0.9941052723441755,0.9959763789149699,0.9920079421410303,0.999999999999999,0.9912740400190391,0.9946681441590942,0.9916700677303227,0.9941052723441755,0.9885468149240674,0.9894131499002653,0.9845972746636225,0.986585778746946,0.9898636692485883,0.9875616944430204,0.9922324191547417,0.992454976656408,0.9898636692485883,0.9886100058767668,0.9868318560414506,0.982564816612638,0.9873962760094613,0.989399406341609,0.9903111753328819,0.9884541670469348,0.9896775972757585,0.9851483873881169,0.986889901218358,0.9896775972757589,0.9912220847141289,0.9880129799636427
sıpasdar,0.9960198733532538,0.9981601915589564,0.9999999999999999,0.996339117000355,0.9981601915589564,0.9964107898504324,0.9945849304652538,0.9977001672171631,0.9912740400190391,0.9999999999999999,0.996339117000355,0.9981601915589564,0.9964107898504324,0.9948701618023579,0.9965082364789459,0.9911867466557212,0.9946522653541581,0.9945645218863202,0.9934606158397122,0.9938914409789078,0.993644028996558,0.9945645218863202,0.9940453167874428,0.9916849565528091,0.9885382312329292,0.9917802356937413,0.9926206857030073,0.9959214111894491,0.9935694533639822,0.9943586613584475,0.9917275530768398,0.9898147837884536,0.9943586613584469,0.9921396985146859,0.9950029559933369
şükrdar,0.9953971668371414,0.9962024062068466,0.996339117000355,0.9999999999999992,0.9962024062068466,0.9992228485715977,0.9977738098667939,0.9963815523257051,0.9946681441590942,0.996339117000355,0.9999999999999992,0.9962024062068466,0.9992228485715977,0.9941889465199478,0.9946895582453872,0.9905503632802739,0.9938180167212112,0.9942076443227524,0.9929990757398474,0.996041481970131,0.9936125916141862,0.9942076443227524,0.9938804490221617,0.9919835745928098,0.988604652503193,0.993179795547042,0.9942696996830254,0.9959861163005908,0.9938917177449409,0.9944670688624865,0.9916230480965345,0.9906998563618794,0.9944670688624861,0.9934901119724491,0.9946295597323409
sıpasdari,0.9962565861069586,0.9999999999999999,0.9981601915589564,0.9962024062068466,0.9999999999999999,0.9967289810770017,0.9943646748154052,0.9985459730438443,0.9916700677303227,0.9981601915589564,0.9962024062068466,0.9999999999999999,0.9967289810770017,0.9940767694576045,0.9959496350190795,0.9895823231988549,0.9938856710449566,0.9942430479844038,0.9939270284726499,0.9936973569141216,0.9942708792690135,0.9942430479844038,0.9923998839162632,0.9907230206265728,0.9874530378328239,0.9917965096674121,0.9916963975073417,0.994639902361182,0.9919273164677532,0.9935724063442836,0.9899219546380481,0.9902901013360214,0.993572406344284,0.9920412913308875,0.9942528139897885
şükrdari,0.9957683686219376,0.9967289810770017,0.9964107898504324,0.9992228485715977,0.9967289810770017,0.9999999999999994,0.9972818246403502,0.9966316143576097,0.9941052723441755,0.9964107898504324,0.9992228485715977,0.9967289810770017,0.9999999999999994,0.9938208800195711,0.9945143075604741,0.9905828439189802,0.9939900543271885,0.9942042031185268,0.9926156529195205,0.9954715052968579,0.9938485052342931,0.9942042031185268,0.9936777886042863,0.9914899827915914,0.9881189858974091,0.9924880513368921,0.9938171733224797,0.9963792895503484,0.9934667370305904,0.9942411503092635,0.9913229578526177,0.9905624899806049,0.9942411503092633,0.9930776428726052,0.9943112148377565
qedır bıken,0.9972266033883123,0.9940767694576045,0.9948701618023579,0.9941889465199478,0.9940767694576045,0.9938208800195711,0.9922498749704245,0.9942864360955936,0.9885468149240674,0.9948701618023579,0.9941889465199478,0.9940767694576045,0.9938208800195711,0.9999999999999992,0.996425835656148,0.9953734663105899,0.9964888887326145,0.9927356672119916,0.9918639784706275,0.9909442591627237,0.9908183348836256,0.9927356672119916,0.9918020411040601,0.9973069193656262,0.9952654280675313,0.9954428028133455,0.9911722588832266,0.9933672576326728,0.9920348337680611,0.9915619976804793,0.9886029456225802,0.9869000474542524,0.991561997680479,0.993004780417623,0.9939884207258983
sıpasi bıken,0.9944120699828488,0.9959496350190795,0.9965082364789459,0.9946895582453872,0.9959496350190795,0.9945143075604741,0.9931859780768352,0.9964125003939773,0.9894131499002653,0.9965082364789459,0.9946895582453872,0.9959496350190795,0.9945143075604741,0.996425835656148,0.9999999999999998,0.9899074772673703,0.9943101185087342,0.994399474621099,0.9946878494948432,0.9915908190364487,0.9917357549148539,0.994399474621099,0.9921061407829247,0.992466625286193,0.9893687751095755,0.9918564045158256,0.990524149364937,0.9936217280194248,0.9919347136491184,0.9924570041526677,0.9891382166679538,0.9875842816898412,0.9924570041526672,0.9914597475880296,0.9937514186627512
