,waarderen,waardering,dankbaar,dankbaarheid,dankbaarheid,bedankt,danku,dankbaar,dankbaarheid,schuldig,schuldigheid,verplichting,verplicht,verbintenis,te betalen,verschuldigd zyn,nog verschuldigd,excuusachtig,excuusen,excuus,spiet,excuseer,sorry,excuseer me,excuus vrage,vergeef me
waarderen,0.9999999999999996,0.9950052607139954,0.9934382427392243,0.9892858032227373,0.9892858032227373,0.9895998983795004,0.9934834205348048,0.9934382427392243,0.9892858032227375,0.9924593353309203,0.9908342537024457,0.9938369870487138,0.9924102723152383,0.9945936790986776,0.9920271314906874,0.9915601913646088,0.9905147429109997,0.9944680477442585,0.9927119007703012,0.9896163804221296,0.9939836565561168,0.9918384204506601,0.9860998086485971,0.9899107640205465,0.9951865237335771,0.9926580101634962
waardering,0.9950052607139954,0.9999999999999997,0.9912967931582173,0.9912412961862864,0.9912412961862864,0.9888836262095871,0.990638355884486,0.9912967931582173,0.9912412961862854,0.9900487818445889,0.9880865304603572,0.9940744417524934,0.990997555869763,0.9923157820764695,0.9883980379066447,0.9905060018546679,0.9892520889056609,0.9923319786013606,0.9901271772667208,0.9871927532104827,0.9913019303596428,0.9894491908202714,0.9828399025120247,0.9861788066035232,0.9928526993027753,0.9894233532425909
dankbaar,0.9934382427392243,0.9912967931582173,0.999999999999999,0.9942832376873055,0.9942832376873055,0.9916134944357489,0.9948880990944442,0.999999999999999,0.9942832376873059,0.9957621964051515,0.9887456361322551,0.9945005936163258,0.9961853850773191,0.9940430148774093,0.9911263404189932,0.9941312474336055,0.9920654025027853,0.9966684961348274,0.9940939649698927,0.9919882912280067,0.9955567776456602,0.9926688476193009,0.9910865563374363,0.990377849529172,0.9943625202455687,0.993795279194845
dankbaarheid,0.9892858032227373,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9857632081375778,0.9884594654778609,0.9942832376873055,1.0000000000000004,0.9888159942363555,0.9835007017885177,0.9908627950026733,0.9904317788889848,0.9886805956359477,0.9851746879367024,0.9891816217541227,0.9864109898975517,0.9903789119011357,0.986861156531723,0.9845311277477244,0.9890210866476309,0.9864150344794641,0.9828112074523565,0.9830559271875993,0.9892773053282321,0.9883574519143905
dankbaarheid,0.9892858032227373,0.9912412961862864,0.9942832376873055,0.9999999999999998,0.9999999999999998,0.9857632081375778,0.9884594654778609,0.9942832376873055,1.0000000000000004,0.9888159942363555,0.9835007017885177,0.9908627950026733,0.9904317788889848,0.9886805956359477,0.9851746879367024,0.9891816217541227,0.9864109898975517,0.9903789119011357,0.986861156531723,0.9845311277477244,0.9890210866476309,0.9864150344794641,0.9828112074523565,0.9830559271875993,0.9892773053282321,0.9883574519143905
bedankt,0.9895998983795004,0.9888836262095871,0.9916134944357489,0.9857632081375778,0.9857632081375778,0.9999999999999993,0.9908838254956776,0.9916134944357489,0.9857632081375789,0.992487579215307,0.987509203352508,0.9905954781588939,0.9920658806291969,0.9924345322613373,0.9880475657479592,0.9910112513946941,0.9899167703945021,0.9920512683931397,0.991966996688082,0.990293914211607,0.9927362737367157,0.9893826114128166,0.9872191812064088,0.9871245709947439,0.9909623014797299,0.9884820615920422
danku,0.9934834205348048,0.990638355884486,0.9948880990944442,0.9884594654778609,0.9884594654778609,0.9908838254956776,0.9999999999999992,0.9948880990944442,0.98845946547786,0.9945846989801278,0.9897792367435976,0.992900230508615,0.9933144007370518,0.9953324768070895,0.9922957196716513,0.9922598468162778,0.9890756050342141,0.994662649760178,0.99426471292377,0.9916862557412288,0.9952031834911932,0.9929183584818732,0.9914311133064506,0.9926304963326668,0.9949488954327451,0.9942317754707379
dankbaar,0.9934382427392243,0.9912967931582173,0.999999999999999,0.9942832376873055,0.9942832376873055,0.9916134944357489,0.9948880990944442,0.999999999999999,0.9942832376873059,0.9957621964051515,0.9887456361322551,0.9945005936163258,0.9961853850773191,0.9940430148774093,0.9911263404189932,0.9941312474336055,0.9920654025027853,0.9966684961348274,0.9940939649698927,0.9919882912280067,0.9955567776456602,0.9926688476193009,0.9910865563374363,0.990377849529172,0.9943625202455687,0.993795279194845
dankbaarheid,0.9892858032227375,0.9912412961862854,0.9942832376873059,1.0000000000000004,1.0000000000000004,0.9857632081375789,0.98845946547786,0.9942832376873059,0.9999999999999998,0.9888159942363564,0.9835007017885169,0.9908627950026745,0.9904317788889843,0.9886805956359481,0.9851746879367017,0.9891816217541229,0.9864109898975517,0.9903789119011357,0.986861156531723,0.9845311277477244,0.9890210866476309,0.9864150344794641,0.9828112074523565,0.9830559271875993,0.9892773053282321,0.9883574519143905
schuldig,0.9924593353309203,0.9900487818445889,0.9957621964051515,0.9888159942363555,0.9888159942363555,0.992487579215307,0.9945846989801278,0.9957621964051515,0.9888159942363564,1.0,0.9889120979218974,0.9938571703680873,0.9963031307079113,0.9938454375639731,0.9917045923199452,0.9958627669737381,0.9920728802256262,0.9961314108558451,0.9945758238099448,0.99214796272328,0.9954831112069814,0.9928096736221508,0.991498851527247,0.991570116731012,0.9939800299531422,0.9934236928749008
schuldigheid,0.9908342537024457,0.9880865304603572,0.9887456361322551,0.9835007017885177,0.9835007017885177,0.987509203352508,0.9897792367435976,0.9887456361322551,0.9835007017885169,0.9889120979218974,0.9999999999999991,0.989402556674155,0.9881617019152817,0.9918165307750171,0.9869163851356337,0.987380986954451,0.9872845200875336,0.9902701768841735,0.9893194669258775,0.9866256952158484,0.9903215108446959,0.9871702687202184,0.9830057864170427,0.9878758742490491,0.991046379763571,0.9881395920179596
verplichting,0.9938369870487138,0.9940744417524934,0.9945005936163258,0.9908627950026733,0.9908627950026733,0.9905954781588939,0.992900230508615,0.9945005936163258,0.9908627950026745,0.9938571703680873,0.989402556674155,0.9999999999999994,0.9955577040178112,0.9936518899853249,0.9900597365858792,0.9944893207005963,0.9924793405047763,0.9956318151001424,0.9927757758908458,0.989909165797284,0.9935257752722523,0.9915270515578016,0.9860322003262121,0.9889981305445771,0.9939498062861658,0.9919315903398411
verplicht,0.9924102723152383,0.990997555869763,0.9961853850773191,0.9904317788889848,0.9904317788889848,0.9920658806291969,0.9933144007370518,0.9961853850773191,0.9904317788889843,0.9963031307079113,0.9881617019152817,0.9955577040178112,0.999999999999999,0.9936828737091946,0.9924963154087746,0.995983690739374,0.9929669292743935,0.9965954287708235,0.9938088370335768,0.9916348460839649,0.9953086055664075,0.992214605947078,0.990102568386932,0.9901948084855569,0.9929652297578239,0.9941256050758237
